day;temperature_max;temperature_min;humidity;precip_intensity;precip_intensity_max;pressure;visibility;wind_speed
2016-02-28 00:00:00+00:00;7.84;2.52;0.71;0;0;1019.7;6216;5.02
2016-03-01 00:00:00+00:00;11.68;5.17;0.9;0.1711;1276;1012.9;4501;7.29
2016-03-03 00:00:00+00:00;9.62;3.79;0.75;0.0208;615;1004.1;6048;6.17
2016-03-05 00:00:00+00:00;7.1;-0.44;0.85;0.0014;0.0103;1000.2;5.28;3.65
2016-03-07 00:00:00+00:00;8.18;0;0.7;0;0;1009.7;6216;3.81
2016-03-09 00:00:00+00:00;9.08;5.9;0.89;0.6375;3.7577;995.2;5194;7.13
2016-03-11 00:00:00+00:00;10.98;0.28;0.86;0;0;1027.9;2361;1.15
2016-03-13 00:00:00+00:00;11.46;1.52;0.8;0;0;1033.5;3.65;3.67
2016-03-15 00:00:00+00:00;10.82;1.57;0.84;0;0;1029.1;4945;3.42
2016-03-17 00:00:00+00:00;12.66;1.46;0.73;0;0;1029.2;4608;2.89
2016-03-19 00:00:00+00:00;9.64;5.54;0.76;0;0;1025.4;6216;4.26
2016-03-21 00:00:00+00:00;12.92;5.68;0.72;0;0;1023;6115;1.97
2016-03-23 00:00:00+00:00;11.69;3.89;0.76;0;0;1016.7;5694;1.21
2016-03-25 00:00:00+00:00;15.09;6.96;0.77;0.1092;0.7439;1013.9;5553;4.13
2016-03-27 00:00:00+00:00;10.16;6.19;0.85;0.2504;1.0393;1000.7;6085;8.55
2016-03-28 23:00:00+00:00;12.62;6.36;0.78;0.1762;1617;1003.5;6188;7.45
2016-03-30 23:00:00+00:00;13.58;4.58;0.7;0;0;1014.9;6216;2.44
2016-04-01 23:00:00+00:00;14.36;7.3;0.75;0.1048;0.9364;1013;5352;3.85
2016-04-03 23:00:00+00:00;12.51;8.27;0.86;0.0118;0.2228;1002.3;5743;3.96
2016-04-05 23:00:00+00:00;11.73;6.34;0.77;0.0509;0.4055;1009;5746;6.75
2016-04-07 23:00:00+00:00;12.47;4.6;0.83;0.0002;0.0119;1011.9;6216;2.9
2016-04-09 23:00:00+00:00;12.92;1.92;0.72;0.0691;1.5269;1006.4;6139;5.5
2016-04-11 23:00:00+00:00;16.26;5.91;0.79;0.0006;0.0108;1006.9;5914;2.23
2016-04-13 23:00:00+00:00;15.69;5.98;0.82;0.0615;0.7535;1009.5;5783;2.38
2016-04-15 23:00:00+00:00;8.48;3.72;0.83;0.0245;0.3338;1004;5991;2.94
2016-04-17 23:00:00+00:00;12.1;1.81;0.75;0;0;1022.8;6216;3.87
2016-04-19 23:00:00+00:00;16.31;3.77;0.69;0;0;1028.6;6201;4.91
2016-04-21 23:00:00+00:00;11.17;6.43;0.8;0.0358;0.1759;1020;6164;4.72
2016-04-23 23:00:00+00:00;11.22;3.42;0.67;0;0;1020.2;6216;3.33
2016-04-25 23:00:00+00:00;11.34;2.88;0.67;0.0106;0.0821;1008.6;6177;5.19
2016-04-27 23:00:00+00:00;11.36;0.09;0.74;0;0;1014.2;5875;5.07
2016-04-29 23:00:00+00:00;13.89;1.23;0.69;0.0019;0.0283;1021.2;6558;2.8
2016-05-01 23:00:00+00:00;13.09;8.01;0.9;0.0246;0.2043;1022;4871;5.86
2016-05-03 23:00:00+00:00;16.14;2.66;0.72;0;0;1026.7;6216;2.2
2016-05-05 23:00:00+00:00;21.31;6.8;0.61;0;0;1010.5;6216;2.98
2016-05-07 23:00:00+00:00;25.31;11.78;0.6;0;0;1006.3;6216;4.55
2016-05-09 23:00:00+00:00;18.34;14.39;0.9;0.0804;0.4455;1005.6;4254;2.37
2016-05-11 23:00:00+00:00;23.7;13.55;0.76;0.0851;0.9464;1001.4;4068;3.31
2016-05-13 23:00:00+00:00;15.37;7.59;0.63;0;0;1019.3;6216;3.41
2016-05-15 23:00:00+00:00;18.84;7.39;0.72;0;0;1020.9;6187;2.39
2016-05-17 23:00:00+00:00;13.25;10.27;0.88;0.2195;1.5832;1005.6;5933;4.37
2016-05-19 23:00:00+00:00;17.67;12.2;0.83;0.0042;0.0455;1015.3;5985;5.6
2016-05-21 23:00:00+00:00;17.74;10.68;0.81;0.0045;0.0707;1007.8;5989;2.31
2016-05-23 23:00:00+00:00;18.17;9.25;0.71;0;0;1020.6;6008;3.1
2016-05-25 23:00:00+00:00;20.11;4.88;0.76;0;0;1015.8;5077;1.87
2016-05-27 23:00:00+00:00;20.93;11.05;0.79;0.0453;0.5556;1014.4;5244;2.88
